frame,y,x,size
0,412.979866,25.88590622,1.608416214
0,573.5,1112,1.039405856
0,687,266.5,1.039405856
0,1050,506,2.078811712
0,1068,504,1.154895395
0,1072,497,0.692937237
0,647.5,741.5,1.501364014
0,646.5,628.5,1.039405856
0,1048,501,0.692937237
0,680.4268303,769.6585369,2.282909947
0,251.5260105,577.580925,1.852687137
0,367.2764721,957.5941181,1.490665402
0,1048.5,506,1.732343093
0,535,1052.5,1.270384935
0,295,110.5,0.923916316
0,502,1048.5,1.039405856
0,241.5,488,1.039405856
0,502.5,1047.5,0.577447698
0,221.5,623,1.270384935
0,635.5,1028.5,1.963322172
0,249,573,0.923916316
0,646.2207088,209.6502934,4.048446634
0,502.7068958,1047.982759,1.393981506
0,399,1108,1.154895395
0,593.2000008,735.5999985,2.005561957
0,1052.5,502.5,0.808426777
1,533.6903687,890.7178898,2.064991859
1,160.5,784.5,2.194301251
1,687.5,270,1.270384935
1,162,790.5,1.270384935
1,369,955,1.385874474
1,572,1115,0.692937237
1,589.2400007,732.3199997,2.263595019
1,163.5,796,1.385874474
1,406.7260351,1113.577513,4.12393266
1,11,1027.5,0.923916316
1,168.5,786,0.577447698
1,638,741,1.154895395
1,678,768.5,1.732343093
1,644,1032,2.309790791
1,626,285.5,1.501364014
1,102.5,991.5,1.039405856
1,457.5,970,1.501364014
1,299.5,111.5,1.270384935
1,668.5,782,0.923916316
1,406.5,23.5,1.270384935
1,550,890,1.154895395
1,642,200,0.692937237
1,191,789,1.154895395
1,220,624,1.154895395
2,111.5705891,998.182354,1.691091149
2,413,29.5,0.577447698
2,693.5,274.5,0.808426777
2,306.4151382,1069.800459,2.111923583
2,167,797,1.154895395
2,302.5,118.5,1.039405856
2,227,627.5,0.923916316
2,588.5,1117,0.808426777
2,377.5,966,1.616853553
2,679.196497,792.6439648,4.095595993
2,594,742,0.923916316
2,24,803.5,0.923916316
2,652,746.5,1.878258864
2,3.5,1037.5,1.039405856
2,536,899.5,1.154895395
2,578,920.5,0.577447698
2,647.5,1039,1.385874474
2,162,833.5,1.154895395
2,98.5,744,1.270384935
2,467.5,977.5,1.039405856
2,417,1115,2.078811712
2,648.5,206.5,1.501364014
2,629,290.5,1.501364014
3,5,1038,1.154895395
3,594,742.5,1.039405856
3,693.5,274,0.808426777
3,659.5,702,0.923916316
3,614,82,1.154895395
3,651.1176472,745.4705896,2.229734861
3,190.5,702,1.732343093
3,535.5,898.5,1.270384935
3,589,1117.5,0.923916316
3,651,632.5,0.923916316
3,554,891.5,1.385874474
3,648,1039.5,1.732343093
3,467,977.5,1.039405856
3,679.7454071,792.5524292,3.922582403
3,417.5,1115,1.963322172
3,307.7590656,1070.984454,2.061653093
3,302.5,118,1.039405856
3,650,207.5,1.039405856
3,227,627.5,0.923916316
3,630,291.5,1.039405856
3,99.26470566,744.0588226,1.604309666
3,163.5,833.5,1.501364014
3,377.5,968.5,1.270384935
3,112.75,998.75,2.045175797
3,24.5,804,0.808426777
4,418.5,1115.5,1.732343093
4,679.4947453,792.7950068,3.679927005
4,629,292.5,0.808426777
4,4,1038,0.923916316
4,647.5,1039.5,1.732343093
4,551,893,2.309790791
4,306.1499996,1069.549999,2.045175577
4,162.5,834,1.039405856
4,24.5,803.5,0.808426777
4,614,81.5,1.270384935
4,534.5,898.5,1.270384935
4,649.5,207.5,1.039405856
4,100,745,1.154895395
4,650.5,632.5,0.808426777
4,693.5,274.5,0.808426777
4,302,118,0.923916316
4,229,627,1.549454734
4,594.5,743,1.385874474
4,112,998.5,1.616853553
4,377,968.5,1.154895395
4,650,746,1.616853553
4,589,1117,1.154895395
4,413.5,28.5,0.577447698
4,466,977,1.154895395
5,639.6000023,899.6999993,2.065939719
5,649,207.5,1.270384935
5,630.5,292,0.923916316
5,303,117,0.923916316
5,4,1037.5,1.039405856
5,419.5,1116,1.732343093
5,111.5,998,1.501364014
5,99.5,744,1.270384935
5,594.5,742,1.385874474
5,647,1038,1.385874474
5,555.5,892.5,1.270384935
5,535,897.5,1.385874474
5,678.4964485,793.5485182,3.833906522
5,376.7923069,968.2384615,1.446796105
5,24.5,803,0.923916316
5,306.8148785,1069.534603,2.493215418
5,192.4115038,653.6725655,2.531391719
5,651.9146347,745.7682929,2.218481697
5,466.5,976.5,1.039405856
5,162,833,1.385874474
5,413,27.5,0.692937237
5,192,700,2.078811712
5,660.5,700,1.616853553
5,693.5,274,0.808426777
5,195,611,0.461958158
5,588.5,1117,0.808426777
5,614.5,82.5,1.732343093
6,651.5,745.5,1.963322172
6,414,28,0.692937237
6,467,977,0.923916316
6,649,207,1.154895395
6,588.5,1117,0.808426777
6,534,898,1.385874474
6,693.5,273.5,0.808426777
6,195.5,611,0.230979079
6,649.5,632,0.923916316
6,638.5,901,2.309790791
6,193,700,1.154895395
6,554.5,891,1.732343093
6,100.5,744,1.039405856
6,24,803.5,0.808426777
6,304.5,1071.5,2.194301251
6,678.2831831,793.4559803,3.751097107
6,376.5,965,1.847832633
6,418.5,1115.5,1.963322172
6,593.8538465,743.1692314,1.446796105
6,614,83.5,1.385874474
6,647,1040,1.616853553
6,111.5,998,1.501364014
6,3.5,1037.5,1.039405856
6,660,702,1.154895395
6,302.5,117.5,0.808426777
6,163.5,832.5,1.501364014
7,649,209.5,1.501364014
7,647.5,1040,1.847832633
7,534.2307692,898.6538458,1.561393846
7,650,735,0
7,99.5,745,1.270384935
7,630,292,0.923916316
7,413,28.5,0.692937237
7,660,701,1.616853553
7,375.750001,966.75,1.878259084
7,694,274.5,0.808426777
7,162.5,834.5,1.270384935
7,197.5,612.5,0.808426777
7,194,701,1.385874474
7,192.0000019,654,2.776556754
7,112,998,1.385874474
7,467.5,977,0.923916316
7,307.3538456,1070.130769,2.34925308
7,612.5,89.5,0.346468619
7,649.5,633,0.923916316
7,24,803.5,0.923916316
7,303,118,1.154895395
7,3,1038.5,1.039405856
7,679.5000029,793,3.838181253
7,419.5,1116,1.963322172
7,640.5,902,1.385874474
7,588.5,1117,0.808426777
8,4.5,1039.5,1.270384935
8,99,743.5,1.154895395
8,110.5,997,1.270384935
8,648.5,1039,2.078811712
8,659.5,700,1.385874474
8,303,118,1.154895395
8,535,899,1.385874474
8,629.5,292.5,1.039405856
8,467,977,1.154895395
8,413.5,28,0.577447698
8,614.5,81.5,1.501364014
8,198.5,613.5,0.808426777
8,649,209,1.385874474
8,651.8970575,744.6617651,2.178692294
8,419,1115.5,2.078811712
8,168.5,795,0.808426777
8,588.5,1117,0.808426777
8,24.5,803.5,0.808426777
8,193,702,1.616853553
8,572.5,916,1.385874474
8,195.5536919,652.1375847,3.018145783
8,376.4878044,966.6097574,2.056153833
8,693.5,273.5,1.039405856
8,163.5,833.5,1.501364014
8,679.7443523,793.0184288,3.675753162
8,638.5,901.5,1.501364014
8,555,891.5,1.616853553
8,305.5,1069.5,1.501364014
9,678.5,789.5,1.963322172
9,24.5,803,0.923916316
9,678.3066311,793.1740332,3.339281016
9,535,898.5,1.385874474
9,594.469799,320.1711407,1.778719163
9,167,794,0.923916316
9,641,901,1.616853553
9,195,647.5,1.963322172
9,694,273.5,0.923916316
9,649,1038,1.385874474
9,306,1071,1.847832633
9,99.5,743.5,1.270384935
9,163,832,1.154895395
9,630.5,291.5,1.039405856
9,650.0000019,206.9999995,1.959922389
9,651.6084909,743.4952831,2.32198851
9,198.5,612.5,0.808426777
9,466.5,976.5,1.039405856
9,684,778,1.154895395
9,256.5,589,1.501364014
9,191.5,701.5,1.963322172
9,302.5,116.5,1.039405856
9,5,1039,1.385874474
9,420,1115.5,2.078811712
9,376.750001,965.749999,2.041585914
9,111.5,997.5,1.501364014
9,615,82,1.616853553
9,589,1117.5,0.692937237
9,686,887.5,0.808426777
10,194.6013517,651.3581085,2.403144072
10,614.8018866,83.05660248,1.427733507
10,164.0499992,793.3499994,2.008654671
10,418.5,1115,2.194301251
10,163.5,833.5,1.501364014
10,23.5,804.5,1.039405856
10,3,1039.5,1.270384935
10,538,1041,1.847832633
10,680.2500019,791.7499981,3.511527375
10,99,745,1.385874474
10,193,700.5,1.385874474
10,534.4459457,898.8243246,1.61384091
10,466.5,977,0.923916316
10,651.5302019,745.8288593,2.459930849
10,375.7756748,965.2540541,2.105757979
10,640.5,903,1.385874474
10,629,292,1.385874474
10,648,1038,1.847832633
10,574,1084.5,1.963322172
10,649.7500019,207.75,1.79659556
10,693.5,274,0.923916316
10,276,586.5,1.039405856
10,111,998,1.616853553
10,195,610,0
10,302.5,117.5,0.808426777
10,306,1072,1.847832633
11,641,903,0.923916316
11,466,976.5,1.039405856
11,588.5,1117.5,0.808426777
11,3.5,1039,1.385874474
11,649.5,633,1.154895395
11,647.5,1040.5,1.963322172
11,303.5,117.5,1.270384935
11,163.5,833.5,1.501364014
11,99,744,1.154895395
11,192,701,1.616853553
11,680.205883,791.8235273,3.589123671
11,24,804,0.923916316
11,376.2439041,966.3048792,1.82168014
11,535,898.5,1.154895395
11,420,1114.5,2.309790791
11,693.5,274,0.923916316
11,196,611,0.461958158
11,615,84,1.385874474
11,192.3774328,653.538909,2.857747781
11,650,208.5,1.501364014
11,651.9597321,745.7281885,2.554543464
11,110,997.5,1.714932035
11,304,1071,1.847832633
12,2.899999857,1038.700001,1.1879153
12,615,82,1.385874474
12,588,1117,0.692937237
12,99.19512367,743.2560987,1.587206448
12,302.5,116.5,1.270384935
12,303,1071,2.309790791
12,647.5,1039.5,1.963322172
12,193,700,1.154895395
12,111,997,1.385874474
12,548.5,892,2.42528033
12,162.5,832.5,1.270384935
12,694,273.5,0.692937237
12,533.5,897.5,1.270384935
12,24,803,0.692937237
12,640.5,899,2.078811712
12,649.5,207.5,1.501364014
12,419,1114.5,2.309790791
12,678.7500019,792.75,3.429864291
12,649.5,632.5,1.039405856
12,377.5,964,1.847832633
12,683.5,778,1.385874474
12,466,976,0.923916316
12,651.6094341,744.4830189,2.305701535
13,111,997.5,1.385874474
13,191,701,2.078811712
13,615,83.5,1.501364014
13,185.5,603.5,1.039405856
13,164,833,1.385874474
13,647,1039.5,1.732343093
13,303,117,1.154895395
13,588,1117,0.692937237
13,693.5,274,0.923916316
13,466,976.5,1.039405856
13,99.70491791,744.7540979,1.744856802
13,641,902,2.309790791
13,377.250001,966.75,1.79659556
13,3.5,1039.5,1.270384935
13,651.0901632,745.0081978,2.321546851
13,24,804,0.923916316
13,304,1072.5,2.309790791
13,420,1114.5,2.54076987
13,535,898.5,1.154895395
13,650.5,207,1.154895395
13,594.5,743,1.385874474
13,680,790,2.309790791
14,647,1039.5,1.732343093
14,679.5,790,1.616853553
14,305,1070,2.582424594
14,162.5,833.5,1.270384935
14,189,701.5,2.309790791
14,693,273.5,0.808426777
14,534.6346149,899.3269234,1.472208461
14,24,803,0.923916316
14,187,604.5,1.501364014
14,110.5,998,1.732343093
14,302,117,1.154895395
14,99.19512272,744.2560978,1.587206448
14,649.5,207.5,1.039405856
14,192.1600008,653.6200008,2.633161854
14,650.5,744.5,2.449903096
14,614.3972607,82.22602701,1.432805096
14,466.5,977.5,1.270384935
14,648.5,632.5,1.039405856
14,589,1117,0.923916316
14,679.5,732.5,0.577447698
14,629.5,290.5,1.270384935
14,680,790.5,2.194301251
14,5,1039,1.154895395
14,377.250001,967.25,1.802980121
14,418.5,1114.5,2.42528033
15,23.5,803.5,1.039405856
15,535.1756754,898.4459457,1.575868147
15,376.8517227,966.47931,1.946949509
15,163.5,833,1.501364014
15,649.5,207,1.154895395
15,639.5,902.5,1.732343093
15,678.5976315,792.665679,3.833906522
15,466,976.5,1.039405856
15,192.9512215,652.560976,2.777611229
15,3.5,1038.5,1.270384935
15,578,919,0.461958158
15,260,588.5,1.847832633
15,652.25,745.75,1.959922389
15,613.8378382,80.97297287,1.637897119
15,648,1039,1.616853553
15,305.2758636,1069.310345,2.616395993
15,693,273,0.923916316
15,189.5,701.5,1.963322172
15,588.5,1117,0.808426777
15,187,603.5,1.270384935
15,418,1115,2.078811712
15,111,998,1.616853553
15,302.5,117,1.270384935
16,377,968,1.385874474
16,535,898.5,1.616853553
16,306.3970585,1069.838236,2.475786738
16,679,787.5,2.656259409
16,99.5,745,1.039405856
16,163.5,833,1.501364014
16,647.5,1039.5,1.732343093
16,650,207.5,1.039405856
16,303.5,117,1.270384935
16,586.5,1117,0.808426777
16,614,81.5,1.385874474
16,466,976.5,1.270384935
16,111.6647072,998.2588234,2.167101884
16,190.5,701,1.501364014
16,4,1037,0.923916316
16,578.5,917.5,0.346468619
16,637.5,902.5,1.270384935
16,417.5,1114.5,2.42528033
16,193.8424864,652.8511562,3.185092013
16,694,274,0.923916316
16,652.500001,746,2.041585914
16,168,796,1.154895395
16,659.5,700,1.616853553
16,24,803.5,1.039405856
17,466.5,976.5,1.039405856
17,694.5,273.5,0.808426777
17,288.5,1033.5,1.270384935
17,679.2499981,793.2500019,3.919845659
17,638.5,903,1.616853553
17,647.5,631.5,1.270384935
17,377.5,967,1.270384935
17,594.5,742,0.923916316
17,661,697.5,1.501364014
17,164,832.5,1.616853553
17,647.5,1039,1.847832633
17,187,604,2.078811712
17,568,825,0.692937237
17,192.5,699,1.501364014
17,192.8086195,652.9534492,2.882256442
17,24.5,802.5,0.808426777
17,418.5,1114.5,1.963322172
17,649.8823547,207.4705877,1.728670715
17,303.5,116,1.270384935
17,101,746,0.923916316
17,614,81,1.154895395
17,581,1117,2.54076987
17,5,1036.5,1.154895395
17,535.5,898,1.501364014
17,653.25,745.25,2.204912522
17,304.5,1069.5,2.194301251
17,111.6346169,997.8269234,2.174338924
18,306.0890427,1069.095891,2.433065204
18,651,207.5,1.270384935
18,535.5,898.5,1.270384935
18,597.4344254,323.7786884,2.380694136
18,683.547863,788.1733475,3.950330485
18,25,803.5,0.808426777
18,419,1114,2.078811712
18,164.5,65.5,1.039405856
18,652.527586,744.5310354,2.301812292
18,101,746,0.692937237
18,594.5,741,0.923916316
18,647.5,1038.5,1.501364014
18,667,681.5,1.501364014
18,467,976.5,1.270384935
18,112,998.5,1.847832633
18,194.5,612,0.923916316
18,694.5,273,0.923916316
18,379.5,965.5,1.732343093
18,648,631.5,0.808426777
18,164,833,1.616853553
18,615,81.5,1.501364014
18,5,1038,1.154895395
18,191,700,1.385874474
18,660.5,700,1.154895395
18,304.5,116.5,1.501364014
18,639.5,902.5,1.732343093
18,581.5,1117,2.42528033
18,169,794,0.692937237
18,191.2249069,652.442379,2.851816333
19,650,208.5,1.501364014
19,580,1117,2.54076987
19,647,1038.5,1.501364014
19,305,1071,1.847832633
19,466.5,976.5,1.039405856
19,695,273.5,0.808426777
19,378.7878056,967.7097569,1.750352428
19,614.5617981,81.10112381,1.78731268
19,168.5,794.5,0.808426777
19,652.3896561,745.6241384,2.273039693
19,594.5,742,0.923916316
19,110.5,998.5,1.501364014
19,100.499999,746,1.569520702
19,683.4570427,793.2829933,3.880517079
19,535.5,898.5,1.270384935
19,303.25,117.250001,1.714932145
19,164,65.5,0.808426777
19,660.5,701,1.616853553
19,163,833.5,1.616853553
19,4.5,1038.5,1.039405856
19,419,1115.5,1.616853553
19,24.5,804.5,0.808426777
19,614.5999999,81.29999971,1.601103178
19,639.5,905.5,1.270384935
20,539.5,1041,1.847832633
20,649.5,208,1.385874474
20,677.5,787,3.233707107
20,23.5,804.5,0.808426777
20,652,744.4999995,2.368239572
20,302.5,116.5,1.270384935
20,163.5,66,1.154895395
20,694.5,274,0.923916316
20,647,1039.5,1.501364014
20,467.5,978,0.923916316
20,99,745,1.385874474
20,585.5,1117.5,0.808426777
20,535,899.5,1.154895395
20,419.5,1115.5,1.732343093
20,614.5,82.5,1.270384935
20,168.5,795,0.923916316
20,110.5,999,1.732343093
20,374.5,958.5,0.346468619
20,306,1072,2.078811712
20,640.5,903.5,1.039405856
20,593.6923065,744.9615383,1.630785528
20,5,1037.5,1.154895395
20,163,834.5,1.616853553
21,304.2439032,117.6951218,1.623279307
21,467,976.5,1.039405856
21,694.5,273.5,0.808426777
21,677.5,787,3.002728028
21,508,1057.5,1.039405856
21,594,743,0.923916316
21,651.3292685,744.4634147,2.43491885
21,24.5,804,0.808426777
21,165,65,0.923916316
21,650.500001,206.999999,1.388278377
21,660,700.5,1.039405856
21,192.3536606,654.6829281,3.06619432
21,588,1117,0.923916316
21,647.5,1039.5,1.732343093
21,110,998.5,1.616853553
21,4.5,1039,1.154895395
21,168.5,794.5,0.808426777
21,306.7153854,1070.223075,2.187886071
21,640,903.5,1.039405856
21,377.9077253,966.7124462,2.141170001
21,163,833,1.385874474
21,420.5,1115.5,1.963322172
21,534.5,899,1.039405856
21,100.5,745,1.039405856
22,683.5,777.5,1.039405856
22,168.5,794,0.808426777
22,419,1115,1.847832633
22,646.5,1036.5,1.963322172
22,535.5,899.5,0.808426777
22,305.5,1072,1.963322172
22,304,115,1.385874474
22,467,977,0.923916316
22,652.5,744.999999,1.878258864
22,679.2437954,793.4795647,3.274170783
22,650,207.5,1.039405856
22,587.5,1117,1.039405856
22,164,66.5,1.039405856
22,593.5,742,0.923916316
22,4.5,1038,1.154895395
22,374.5,957.5,0.346468619
22,23.5,803.5,0.808426777
22,640.5,904,0.923916316
22,190.796381,654.2239809,3.053085748
22,538.7241383,1039.310347,2.062374947
22,110.5,998.5,1.501364014
22,99.84999943,745.4499998,1.606923825
22,695.5,273,0.692937237
22,162,833,1.385874474
23,23,803.5,0.923916316
23,4.5,1038.5,1.039405856
23,304,116,1.385874474
23,649.5,207,1.154895395
23,376.5,968.5,1.501364014
23,652,1086.5,1.963322172
23,646.5,1038.5,1.732343093
23,305.8898926,1069.893502,2.158058337
23,650.2317076,744.5853662,2.43491885
23,534.5,898.5,1.039405856
23,163.5,65.5,1.039405856
23,592,744.5,1.501364014
23,678,792,1.616853553
23,587.5,1117,1.039405856
23,466,976.5,1.039405856
23,418.5,1115,1.732343093
